Customer_ID,Customer_Name,Gender,Age,Nationality,Booking_ID,Booking_Date,Duration_of_Stay,Room_Type,Room_Rate,Additional_Room_Cost,Loyalty_Status,Booking_Channel,Economic_Index,Travel_Purpose,Group_Size,Competitor_ID,Competitor_Room_Rate,Competitor_Occupancy_Rate,Competitor_Promotions,Competitor_Name,Competitor_Rating,Competitor_Pricing_Strategy,Channel_Type,Local_Events,Cancellation
32,Chloe Hicks,Female,62,Tanzania,32,2/1/2012,5,Double,1059.642289,300,Yes,Direct,2,Leisure,1,4,1696.902842,9.434,Event Special,Luxury Stay,3,Premium,Agent,Concert,No
33,Joshua Jacobs DDS,Male,41,Egypt,33,2/2/2012,3,Double,1515.666622,1117.525077,Yes,Phone,2,Leisure,3,4,3651.757475,7.706,Loyalty Offer,Luxury Stay,1,Competitive,Direct,None,No
34,William Farmer,Male,56,Morocco,34,2/3/2012,2,Deluxe,1859.205052,1634.889846,No,Walk-In,3,Event,2,1,2987.12325,8.051,Loyalty Offer,Luxury Stay,3,Budget,Online,Concert,No
35,Sabrina Lin,Male,20,Nigeria,35,2/4/2012,5,Suite,849.3860191,681.8579373,No,Phone,1,Business,3,3,906.8827557,6.551,Loyalty Offer,Blue Roof Hotel,3,Competitive,Direct,Sports Event,No
36,Joshua Torres,Female,27,Morocco,36,2/5/2012,3,Deluxe,1214.051481,1038.559184,No,Walk-In,1,Event,2,3,4055.606626,8.385,Seasonal Discount,Bahamas Luxury,3,Competitive,Online,Concert,No
37,Sydney Watson,Male,48,Morocco,37,2/6/2012,1,Suite,529.4353342,806.2592666,No,Online Travel Agency,2,Business,4,4,2928.381152,5.189,Seasonal Discount,Oxford Road,5,Competitive,Direct,Festival,No
38,Brandon Parrish,Male,68,Morocco,38,2/7/2012,14,Double,1812.527789,707.9393472,No,Walk-In,3,Business,1,4,2235.296468,5.883,Seasonal Discount,Luxury Stay,2,Competitive,Agent,Sports Event,Yes
39,Linda Andrews,Female,44,Zimbabwe,39,2/8/2012,3,Suite,783.1972207,799.5324055,Yes,Walk-In,3,Event,1,4,2445.991387,7.285,None,Blue Roof Hotel,5,Competitive,Agent,Conference,No
40,Christine Stevens,Male,30,Ghana,40,2/9/2012,7,Suite,1255.800302,525.7495145,No,Online Travel Agency,2,Business,1,1,4129.333376,9.451,Loyalty Offer,Luxury Stay,1,Premium,Direct,None,No
41,Jenna Bryant,Male,36,Kenya,41,2/10/2012,3,Double,1224.925228,1004.784408,Yes,Event,5,Other,4,2,3109.341693,7.832,Loyalty Offer,Luxury Stay,5,Premium,Third-party,Festival,No
42,Jim Hill,Male,57,Egypt,42,2/11/2012,2,Suite,1796.605312,942.0063836,No,Phone,4,Business,1,4,3747.020293,8.741,Loyalty Offer,Blue Roof Hotel,2,Premium,Agent,None,No
43,Leonard Pearson,Male,67,Ghana,43,2/12/2012,4,Double,1013.931449,1075.398458,No,Direct,5,Business,5,2,4392.504186,8.523,Seasonal Discount,Bahamas Luxury,4,Budget,Agent,None,No
44,Morgan Brown,Male,47,Nigeria,44,2/13/2012,5,Double,1410.021637,655.9729376,No,Event,2,Leisure,2,2,4335.058985,5.504,Seasonal Discount,Oxford Road,1,Budget,Online,None,No
45,Austin Hughes,Male,64,Ghana,45,2/14/2012,7,Suite,1247.978353,845.0539219,No,Online Travel Agency,4,Business,3,2,2620.322964,5.385,Event Special,Blue Roof Hotel,3,Competitive,Third-party,None,No
46,Raymond Rodgers,Female,56,Ghana,46,2/15/2012,5,Suite,1468.832115,627.4279879,No,Event,3,Event,3,3,2019.930015,8.025,None,Luxury Stay,5,Competitive,Third-party,Sports Event,No
47,Andre Allen,Male,24,Nigeria,47,2/16/2012,3,Deluxe,1111.339446,998.4686343,No,Walk-In,4,Leisure,1,4,2187.073694,9.511,Loyalty Offer,Blue Roof Hotel,2,Premium,Agent,None,No
48,Lisa Spence,Male,20,Nigeria,48,2/17/2012,10,Single,998.0487969,300,No,Direct,4,Business,1,4,1580.637516,8.264,Loyalty Offer,Oxford Road,5,Premium,Third-party,Conference,No
49,Amy Stevens,Male,67,Kenya,49,2/18/2012,2,Suite,1216.771622,623.0041017,No,Direct,3,Event,4,4,3851.192815,6.07,Seasonal Discount,Oxford Road,2,Competitive,Agent,Festival,No
50,Lisa Grant,Male,31,Kenya,50,2/19/2012,4,Single,1271.429583,597.1312733,Yes,Event,4,Event,1,4,2499.983492,6.234,None,Bahamas Luxury,3,Premium,Third-party,Sports Event,No
51,Dustin Walton,Female,69,Morocco,51,2/20/2012,3,Deluxe,1520.389674,930.2255559,No,Walk-In,5,Other,2,4,2650.183304,8.377,Seasonal Discount,Bahamas Luxury,5,Premium,Agent,Sports Event,Yes
52,Glenn Maxwell,Male,34,Egypt,52,2/21/2012,5,Double,1138.145906,947.2006899,Yes,Walk-In,3,Leisure,3,2,1259.201307,9.461,Event Special,Oxford Road,3,Competitive,Agent,Conference,No
53,Antonio Cummings,Female,49,Zimbabwe,53,2/22/2012,3,Double,1725.634254,778.621039,No,Online Travel Agency,1,Leisure,2,3,4207.020126,6.016,None,Luxury Stay,5,Premium,Direct,Sports Event,No
54,Michael Lester,Male,26,Nigeria,54,2/23/2012,10,Suite,904.9775159,1150.505739,No,Direct,3,Business,1,1,1547.184209,8.85,Event Special,Oxford Road,1,Competitive,Direct,Festival,No
55,Sarah Houston,Male,59,Nigeria,55,2/24/2012,14,Single,1378.820439,643.2966427,Yes,Direct,1,Other,1,2,2198.825703,7.44,Event Special,Luxury Stay,4,Budget,Direct,Concert,No
56,Gregory Brown,Male,57,Nigeria,56,2/25/2012,1,Suite,879.1685378,1407.690719,No,Phone,4,Leisure,1,3,2146.434579,8.912,Seasonal Discount,Bahamas Luxury,5,Competitive,Direct,Concert,No
57,Linda Anderson,Male,49,Ghana,57,2/26/2012,7,Single,500,869.9310437,Yes,Direct,5,Business,5,2,4027.759439,5.997,None,Luxury Stay,3,Budget,Third-party,Festival,Yes
58,Adam Watkins,Male,43,South Africa,58,2/27/2012,10,Double,1076.024434,948.9447241,No,Event,5,Business,2,2,1365.701425,9.361,Event Special,Oxford Road,5,Competitive,Direct,Concert,No
59,Samantha Burke,Male,36,Egypt,59,2/28/2012,10,Deluxe,1097.813184,938.6950538,No,Direct,4,Business,1,4,3835.222661,8.039,None,Blue Roof Hotel,2,Budget,Direct,Festival,No
60,Jessica Prince,Male,37,South Africa,60,2/29/2012,10,Suite,1070.286377,979.7297332,No,Walk-In,1,Event,1,2,2751.15789,6.816,Event Special,Luxury Stay,1,Competitive,Agent,Concert,No
61,John Armstrong,Male,46,Nigeria,61,3/1/2012,4,Deluxe,819.0792014,1061.581881,No,Event,2,Business,1,2,1879.33007,8.522,None,Oxford Road,1,Premium,Direct,None,No
62,Mackenzie Smith,Male,19,Nigeria,62,3/2/2012,10,Deluxe,1073.409719,1133.714157,No,Walk-In,5,Event,1,1,3411.440214,8.415,Seasonal Discount,Blue Roof Hotel,5,Budget,Third-party,Sports Event,No
63,Bill Evans,Male,44,Ghana,63,3/3/2012,3,Double,1059.09703,976.7500966,Yes,Phone,2,Other,1,2,1455.267354,6.097,Loyalty Offer,Blue Roof Hotel,2,Premium,Direct,Concert,No
64,Jesse Randolph,Male,69,Nigeria,64,3/4/2012,2,Double,500,466.7562238,No,Phone,4,Event,1,3,4412.158502,5.012,Seasonal Discount,Luxury Stay,1,Budget,Agent,Festival,Yes
65,Michael Christensen,Female,48,Nigeria,65,3/5/2012,7,Double,996.7522979,716.8300503,No,Direct,1,Other,1,4,808.9135404,5.251,Loyalty Offer,Luxury Stay,2,Competitive,Third-party,Festival,No
66,Tristan Vazquez,Male,39,Kenya,66,3/6/2012,5,Double,1734.231881,387.3782807,Yes,Online Travel Agency,3,Other,2,2,1876.742665,9.804,Event Special,Bahamas Luxury,4,Competitive,Agent,None,No
67,James Velazquez,Male,70,Algeria,67,3/7/2012,7,Single,2042.946876,795.8046946,No,Event,3,Leisure,3,4,1845.298658,7.604,Loyalty Offer,Blue Roof Hotel,4,Premium,Direct,Conference,No
68,Justin Green,Male,29,Nigeria,68,3/8/2012,1,Deluxe,1078.802704,631.4123585,No,Walk-In,1,Business,1,3,2255.853006,7.2,Event Special,Bahamas Luxury,5,Budget,Online,Festival,No
69,Diana Greer,Female,53,Algeria,69,3/9/2012,2,Suite,501.855336,1176.907131,Yes,Event,5,Other,2,2,1324.004471,6.733,Event Special,Bahamas Luxury,4,Premium,Direct,None,No
70,Phillip Harris,Male,52,Nigeria,70,3/10/2012,5,Single,1094.048527,828.2679197,Yes,Online Travel Agency,2,Event,2,4,4035.706392,9.378,Loyalty Offer,Luxury Stay,4,Competitive,Direct,None,No
71,Kevin Cannon,Male,18,Zimbabwe,71,3/11/2012,1,Suite,1264.652264,599.6690041,Yes,Event,4,Business,2,3,2200.70066,8.352,Seasonal Discount,Blue Roof Hotel,1,Budget,Online,Conference,No
72,Troy Tucker,Male,42,Egypt,72,3/12/2012,10,Double,500,844.7505918,Yes,Direct,3,Event,1,2,3236.646693,9.49,Seasonal Discount,Blue Roof Hotel,1,Budget,Agent,Sports Event,No
73,Jessica Byrd,Male,64,Zimbabwe,73,3/13/2012,14,Suite,1198.307425,1343.408637,No,Event,3,Leisure,1,2,2202.066344,5.994,Event Special,Bahamas Luxury,3,Competitive,Third-party,Conference,No
74,Joshua Soto,Male,50,Morocco,74,3/14/2012,5,Single,1283.08556,527.7225284,No,Event,5,Other,1,2,3897.2671,8.214,None,Oxford Road,4,Budget,Online,Concert,No
75,Mark Peterson,Male,58,Ghana,75,3/15/2012,4,Single,1174.619562,809.7504766,Yes,Direct,2,Other,1,4,3233.201332,9.522,None,Luxury Stay,2,Premium,Agent,Sports Event,No
76,Megan Porter,Male,22,Nigeria,76,3/16/2012,3,Suite,1189.298533,896.7034957,No,Event,3,Event,5,3,1306.891598,7.772,Event Special,Luxury Stay,1,Competitive,Agent,Concert,No
77,Brian Douglas,Male,47,South Africa,77,3/17/2012,5,Suite,645.3728265,300,No,Phone,4,Leisure,2,3,1146.296876,6.246,None,Blue Roof Hotel,4,Budget,Direct,Sports Event,Yes
78,Brooke Lewis,Male,69,Nigeria,78,3/18/2012,1,Single,1763.628368,492.4688249,No,Online Travel Agency,3,Leisure,1,2,3567.992798,6.281,Loyalty Offer,Blue Roof Hotel,4,Competitive,Agent,None,No
79,Sierra Warner,Male,70,Kenya,79,3/19/2012,4,Deluxe,1550.612769,301.0568925,No,Walk-In,4,Other,1,1,3199.65762,6.806,None,Bahamas Luxury,5,Competitive,Third-party,None,No
80,William Adams,Female,36,Nigeria,80,3/20/2012,3,Double,1168.459717,1353.931654,No,Walk-In,5,Other,3,2,1666.918335,9.163,None,Blue Roof Hotel,5,Competitive,Agent,Conference,No
81,Janice Shaw,Male,70,Kenya,81,3/21/2012,4,Double,1369.655468,873.2744814,No,Online Travel Agency,3,Other,2,2,2393.738185,8.761,Event Special,Blue Roof Hotel,1,Budget,Direct,Sports Event,No
82,Amanda Mendoza,Male,55,Egypt,82,3/22/2012,14,Deluxe,1118.905673,782.143833,Yes,Event,3,Leisure,1,1,2231.501077,8.353,Event Special,Luxury Stay,3,Budget,Direct,None,Yes
83,Patricia Hogan,Female,57,Nigeria,83,3/23/2012,2,Deluxe,1724.165236,1256.446062,Yes,Online Travel Agency,5,Event,1,3,1806.498347,7.902,Seasonal Discount,Bahamas Luxury,1,Budget,Agent,Sports Event,No
84,Donna Pineda,Male,20,Ghana,84,3/24/2012,7,Deluxe,1928.163575,791.053712,No,Event,5,Business,1,2,4113.497956,9.635,Seasonal Discount,Bahamas Luxury,1,Competitive,Agent,Concert,Yes
85,Carmen Mitchell,Male,69,Morocco,85,3/25/2012,2,Suite,1369.456577,326.5144197,No,Phone,5,Leisure,2,1,2189.020657,6.13,Seasonal Discount,Bahamas Luxury,5,Budget,Direct,Concert,No
86,Chad Banks,Male,51,South Africa,86,3/26/2012,3,Deluxe,1150.240086,811.1247131,Yes,Phone,4,Leisure,2,3,3589.437243,9.162,Loyalty Offer,Oxford Road,1,Competitive,Agent,Concert,No
87,David Johns,Female,43,Morocco,87,3/27/2012,10,Double,1977.308281,891.4202571,No,Online Travel Agency,4,Business,5,1,3749.783173,8.828,None,Luxury Stay,5,Premium,Agent,Sports Event,No
88,John Miranda,Male,45,Nigeria,88,3/28/2012,2,Deluxe,798.6744958,396.3020475,Yes,Event,1,Event,1,2,4167.279908,5.232,Loyalty Offer,Luxury Stay,4,Budget,Third-party,Conference,No
89,Richard Thornton,Male,63,Morocco,89,3/29/2012,3,Double,1755.983042,832.9114615,No,Phone,4,Other,5,3,984.4971981,9.039,Seasonal Discount,Bahamas Luxury,4,Premium,Agent,Sports Event,Yes
90,Sandy Ramirez,Male,40,Zimbabwe,90,3/30/2012,10,Deluxe,1731.5248,1019.951065,No,Event,4,Business,2,4,3156.597473,6.475,Seasonal Discount,Oxford Road,1,Premium,Third-party,Sports Event,No
91,Vincent Cox,Male,60,Kenya,91,3/31/2012,7,Double,1508.620502,593.884943,No,Phone,1,Other,1,4,1218.931295,9.853,Loyalty Offer,Blue Roof Hotel,1,Premium,Online,None,No
92,Daniel Greene,Male,67,Ghana,92,4/1/2012,2,Single,1035.886023,547.1231393,No,Event,1,Other,2,1,1658.032836,9.889,Loyalty Offer,Bahamas Luxury,4,Competitive,Agent,Festival,No
93,Dylan Chase,Male,24,Nigeria,93,4/2/2012,7,Single,519.3366606,1142.076489,Yes,Walk-In,4,Event,1,1,3611.161677,6.779,Seasonal Discount,Luxury Stay,1,Budget,Agent,None,No
94,Jeanette Rogers,Female,47,Ghana,94,4/3/2012,14,Suite,1771.133798,1047.267431,No,Online Travel Agency,5,Business,3,2,3566.2943,5.565,Seasonal Discount,Oxford Road,5,Premium,Online,Concert,No
95,Joel Miller,Male,50,Kenya,95,4/4/2012,7,Deluxe,907.5109066,322.058489,Yes,Phone,3,Event,2,2,3254.832926,7.276,None,Blue Roof Hotel,1,Premium,Third-party,Sports Event,No
96,Bob Ellis,Male,57,Nigeria,96,4/5/2012,2,Deluxe,1065.439404,1000.628431,No,Online Travel Agency,3,Business,4,3,1831.434604,8.009,None,Bahamas Luxury,3,Budget,Third-party,Sports Event,No
97,James Gomez,Male,41,Morocco,97,4/6/2012,14,Double,1726.862541,959.0632212,No,Phone,2,Leisure,4,4,1802.742632,8.837,Seasonal Discount,Blue Roof Hotel,3,Premium,Online,Festival,No
98,Katherine Taylor,Male,55,Nigeria,98,4/7/2012,2,Double,1405.524097,477.8251987,Yes,Direct,5,Business,1,2,4441.772288,9.212,Loyalty Offer,Bahamas Luxury,1,Premium,Third-party,Festival,No
99,Debra Foster,Male,28,Algeria,99,4/8/2012,3,Single,1521.994184,621.6808356,No,Phone,5,Other,2,2,3750.904073,7.622,Loyalty Offer,Luxury Stay,5,Competitive,Direct,Conference,No
100,Sheri Rogers,Female,27,Nigeria,100,4/9/2012,10,Double,1139.93766,656.8730319,No,Direct,3,Leisure,1,1,4187.152562,8.913,Loyalty Offer,Luxury Stay,1,Premium,Agent,Sports Event,No
101,Christina Price,Male,19,Ghana,101,4/10/2012,5,Deluxe,1186.108099,917.1827908,No,Direct,5,Other,5,1,1708.027865,6.016,Loyalty Offer,Blue Roof Hotel,5,Budget,Third-party,Festival,No
102,Thomas Bryan,Male,18,South Africa,102,4/11/2012,14,Double,770.4609017,619.0291969,No,Direct,2,Leisure,1,1,2280.506052,5.529,Event Special,Luxury Stay,3,Premium,Direct,Concert,No
103,Patricia Campbell,Male,21,Ghana,103,4/12/2012,10,Single,1576.472935,916.3511681,No,Walk-In,1,Event,1,3,1879.324971,6.744,Event Special,Bahamas Luxury,1,Budget,Agent,Conference,No
104,Trevor Warren,Male,43,Zimbabwe,104,4/13/2012,5,Suite,1970.349058,857.6786616,Yes,Direct,1,Other,1,3,4375.056455,9.963,None,Oxford Road,3,Premium,Online,Sports Event,No
105,Deborah Evans,Female,58,South Africa,105,4/14/2012,2,Suite,1331.924639,973.2775683,No,Online Travel Agency,2,Other,2,3,2884.34865,9.484,None,Oxford Road,5,Competitive,Online,Conference,No
106,Melissa Hernandez,Male,30,Morocco,106,4/15/2012,5,Single,1479.209539,338.4265485,No,Event,5,Business,1,4,2743.766647,7.5,Event Special,Luxury Stay,4,Competitive,Online,None,No
107,Joel Murray,Male,21,Morocco,107,4/16/2012,4,Single,1401.866729,953.3435383,Yes,Direct,3,Leisure,1,1,3748.683593,6.576,Loyalty Offer,Oxford Road,5,Competitive,Direct,Concert,No
108,Richard Pittman,Female,52,Morocco,108,4/17/2012,2,Double,1604.706284,784.8469291,Yes,Direct,3,Leisure,1,2,2192.259106,9.78,None,Bahamas Luxury,2,Budget,Direct,Sports Event,Yes
109,Jessica Cherry,Male,45,South Africa,109,4/18/2012,4,Suite,690.6570764,804.6900709,No,Walk-In,3,Other,1,3,3693.291456,5.855,Loyalty Offer,Luxury Stay,4,Competitive,Third-party,None,No
110,Greg Randall,Male,67,Zimbabwe,110,4/19/2012,5,Suite,851.1528904,984.1362965,No,Walk-In,5,Business,5,4,3668.886071,5.998,Seasonal Discount,Blue Roof Hotel,1,Competitive,Online,None,No
111,Maxwell Hughes,Male,19,Egypt,111,4/20/2012,3,Single,773.1814823,997.9629324,No,Direct,2,Business,4,3,2978.149273,5.747,Seasonal Discount,Luxury Stay,4,Competitive,Online,Festival,Yes
112,Joseph Lee,Male,26,Algeria,112,4/21/2012,7,Deluxe,502.570432,777.1559187,Yes,Phone,2,Other,2,1,1387.588666,6,Seasonal Discount,Oxford Road,2,Competitive,Online,Sports Event,No
113,Amanda Austin,Male,56,Ghana,113,4/22/2012,7,Deluxe,1417.397906,364.1569768,No,Event,2,Event,3,2,1543.626828,5.568,Loyalty Offer,Oxford Road,5,Competitive,Online,Sports Event,Yes
114,Diana Calderon,Male,51,Kenya,114,4/23/2012,10,Single,1536.818957,971.2941887,No,Event,5,Leisure,5,4,1767.687941,7.507,Event Special,Oxford Road,1,Competitive,Third-party,Festival,No
115,Christian Lang,Male,61,Algeria,115,4/24/2012,1,Double,1146.956427,1604.963271,Yes,Direct,1,Other,1,4,4262.234317,8.103,None,Bahamas Luxury,3,Premium,Agent,None,No
116,Patricia Lewis,Male,49,Egypt,116,4/25/2012,14,Deluxe,1333.28025,992.2366889,No,Event,3,Other,2,1,1642.372163,7.631,Seasonal Discount,Oxford Road,1,Premium,Third-party,None,No
117,Jesse Williams,Male,47,Uganda,117,4/26/2012,3,Single,1729.5662,300,No,Walk-In,2,Leisure,2,4,3827.2641,5.052,Loyalty Offer,Bahamas Luxury,2,Budget,Third-party,Sports Event,No
118,Melissa Wang,Female,66,Morocco,118,4/27/2012,3,Double,500,1160.311577,No,Walk-In,1,Event,1,2,1045.477986,8.975,Loyalty Offer,Luxury Stay,2,Budget,Agent,Concert,No
119,Calvin Williams,Male,63,Uganda,119,4/28/2012,7,Single,1058.147011,768.0665928,No,Phone,5,Leisure,1,1,2127.360411,5.567,Loyalty Offer,Bahamas Luxury,5,Competitive,Direct,Conference,No
120,Angel Ellis,Male,31,Ghana,120,4/29/2012,7,Suite,1965.832589,486.3794291,No,Phone,5,Leisure,1,2,2600.495807,5.019,Loyalty Offer,Blue Roof Hotel,3,Competitive,Direct,Festival,Yes
121,Megan Lynch,Male,32,Ghana,121,4/30/2012,5,Single,1425.482627,510.6639539,Yes,Online Travel Agency,5,Event,5,3,1884.959901,8.892,Loyalty Offer,Oxford Road,2,Budget,Agent,Festival,No
122,Jonathan Huynh,Male,46,Egypt,122,5/1/2012,3,Double,1691.54218,717.330858,No,Phone,4,Event,1,3,944.5577734,5.865,None,Luxury Stay,2,Premium,Online,Festival,No
123,Kelly Johnson PhD,Male,34,Zimbabwe,123,5/2/2012,7,Double,771.175177,585.0594443,No,Direct,5,Event,2,2,1965.968788,6.956,None,Bahamas Luxury,1,Competitive,Third-party,None,No
124,Scott Compton,Male,53,Ghana,124,5/3/2012,7,Double,1315.936237,955.2379249,No,Phone,1,Leisure,5,4,2956.204962,7.888,Loyalty Offer,Bahamas Luxury,1,Premium,Agent,Sports Event,No
125,Jennifer Burnett,Female,42,Egypt,125,5/4/2012,5,Double,991.0323856,560.3913682,Yes,Event,4,Leisure,5,3,3036.670618,8.598,Loyalty Offer,Oxford Road,2,Competitive,Agent,Sports Event,No
126,Patrick Osborne,Male,63,Morocco,126,5/5/2012,1,Deluxe,832.1374326,615.9338464,No,Direct,1,Business,2,2,2566.171511,6.122,Event Special,Luxury Stay,3,Budget,Agent,Conference,Yes
127,Eric Gibson,Male,24,Nigeria,127,5/6/2012,5,Suite,1188.647223,763.0611912,No,Walk-In,4,Other,1,2,4405.406356,5.461,Seasonal Discount,Blue Roof Hotel,1,Premium,Direct,Festival,No
